Name,Description,Priority
vSAN capacity utilization alarm 'What if the most consumed host fails',This alarm simulates the failure of the host with most resources consumed. The resources on that host would no longer be available. vSAN attempts to re-protect all objects now running with reduced redundancy. This alarm is triggered if re-protection of all objects is impossible when utilization is more than 100%.,
vSAN cluster alarm 'Advanced vSAN configuration in sync',"vSAN has a number of advanced configuration options for tuning or to address special requirements of particular deployments. Usually these options are changed under the guidance of VMware Support, using a VMware KB article procedure. These advanced options are set per host, which can lead to inconsistent configurations across a cluster. This check ensures that critical vSAN advanced options have the same value or default value across all hosts in a given cluster.",
vSAN cluster alarm 'Disk format version',"vSAN cluster expected format version is 13, which is the highest supported format version by any host in the cluster. For disk with format version lower than the expected version, vSAN on-disk format upgrade is recommended to support latest vSAN features.",
vSAN cluster alarm 'Host Maintenance Mode',"Verifies that the host's maintenance mode is in sync with vSAN node decommission state. If the host is in maintenance mode, the vSAN node should be in decommission state. If a node is decommissioned but the host is not in maintenance mode, place the host into maintenance mode using any vSAN option and then remove it from maintenance mode to reset the vSAN decommission status and make it consistent with the vSphere maintenance mode state.",
vSAN cluster alarm 'Resync Operations Throttling',"Checks if resync operations are throttled on any hosts. Displays a warning when resync bandwidth limit is configured, and shows an error when the value is less than 20 MBps. Clear the limit, unless you need it for particular cases like significant resync traffic causing high VM latencies. Setting this limit can slow resync-based operations like policy change or maintenance mode.",
vSAN cluster alarm 'Software version compatibility',"Once a vSAN cluster starts using a new on-disk format version (after software upgrade), hosts with older software versions that do not support the new on-disk format become incompatible. If such an older host version is introduced in the cluster, this host is placed in a network partition or can only access a very limited set of data. Such configurations are unsupported, and an immediate software upgrade or removal of the older host version are advised.",
vSAN cluster alarm 'Time is synchronized across hosts and VC',"Checks the time difference among vCenter Server and hosts. Any difference larger than 60 seconds will trigger this alarm. If the alarm is triggered, check the NTP server configuration.",
vSAN cluster alarm 'vCenter state is authoritative',"During normal operation, the vCenter Server state is regarded as the source of truth, and ESXi hosts are updated with the latest host membership list. When vCenter Server is replaced or recovered from backup, the host membership list in vCenter Server might be out of sync. This health check detects such cases, and alerts if vCenter Server state was not pushed to ESXi due to vCenter Server being out of sync. In such cases, first fully restore the membership list in vCenter Server, and then perform Update ESXi configuration action if required.",
vSAN cluster alarm 'vSAN Cluster Configuration Consistency',"This alarm is triggered when there are inconsistent configuration (like dedup/compression, encryption) setup on hosts or disks in the cluster. If this alarm is triggered, it means that there are inconsistent configuration  settings (for example: dedup/compression, encryption) on hosts or disks with the cluster. You can go to the corresponding health check page to get more detailed information and remediation steps.",
vSAN cluster alarm 'vSAN daemon liveness',Checks the liveness of critical host daemons on all vSAN hosts. NOTE: CLOMD status is not checked on he witness node. EPD status is not checked on witness and metadata node.,
vSAN cluster alarm 'vSAN Direct homogeneous disk claiming',"Checks if vSAN Direct disks are homogeneously claimed on hosts in the cluster. If this alarm is triggered, it means that there are inconsistent configuration settings (like disk capacity, mode and number) setup on hosts in the cluster. You can go to the corresponding health check page to get more detailed information and re-configure accordingly.",
vSAN cluster alarm 'vSAN disk balance',"This alarm helps a user monitor the balance state among disks. Default setting for Automatic Rebalance is disabled. This alarm is triggered if the imbalance exceeds a system-determined threshold. When Automatic Rebalance is enabled, vSAN automatically rebalances to keep the status green. Rebalance can wait up to 30 minutes to start, giving time to high priority tasks like EMM, repair, etc. to use the resources before rebalancing.",
vSAN cluster alarm 'vSAN extended configuration in sync',"vSAN cluster extended configuration defaults are: object repair timer is 60 minutes, site read locality is Enabled, customized swap object is Enabled, large scale cluster support is Disabled, automatic rebalance is off, automatic rebalance threshold is 30. If the host has inconsistent extended configurations, vSAN cluster remediation is recommended. If the host doesn't support any extended configuration, upgrade ESXi software. For cluster scalability configuration to take effect, host reboot might be required.",
vSAN cluster alarm 'vSphere cluster members match vSAN cluster members',"Checks that vSphere cluster members match vSAN cluster members. If this alarm is triggered, it means that vSphere cluster members are not identical to vSAN cluster members. This issue might occur when vSAN is not enabled on certain vSphere cluster members, or when certain vSAN cluster members are not managed by the vSphere cluster. The hosts with mismatched cluster membership appear in the Cluster membership table. You can modify incorrect membership, so that your hosts rejoin appropriate clusters. vSAN configuration is done automatically.",
vSAN data alarm 'vSAN object',This alarm is triggered if some objects in the cluster are not in a healthy state. Check the health monitor for more details.,
vSAN data alarm 'vSAN object format',"This alarm is triggered if there are some objects that need to change the object format. The object format change can involve physical on-disk re-layout of objects, which can cause data movement in the cluster. Objects with the old format might not be able to use some of the new features. Check the health monitor for more details.",
vSAN data-at-rest encryption alarm 'CPU AES-NI is enabled on hosts',"If this alarm is triggered, it means that there are hosts with CPU AES-NI not supported or disabled. The software encryption will be used, which is significantly slower than AES-NI. Refer to Ask VMware KB in vSAN health monitor for more information.",
vSAN data-at-rest encryption alarm 'Dual encryption applied to VMs on vSAN',"This alarm is triggered when vSAN has detected that both VM encryption and vSAN datastore encryption are turned on. Ignore the alarm if this is intended, otherwise turn off one of the encryption types. Refer to Ask VMware KB in vSAN health monitor for encryption best practices.",
vSAN data-at-rest encryption alarm 'vCenter and all hosts are connected to Key Management Servers',"If this alarm is triggered, it means that vCenter Server or hosts have connection issues to Key Management Servers. If vCenter Server experiences issues with KMS connection, check the KMS setting and status in the vCenter Server configuration page. If any hosts in the cluster have connection issues, check the health results for specific reasons. If the host's KMS configuration is not consistent with the rest of the cluster, run the cluster configuration remediation to update KMS configuration on the host.",
vSAN data-in-transient encryption alarm 'Configuration check',"Checks if data-in-transit encryption is configured properly for the cluster. This alarm is triggered if data-in-transit encryption is enabled on the cluster. All hosts are required to have data-in-transit encryption enabled and rest in expected state, otherwise the network traffic might not be properly encrypted.",
vSAN file service alarm 'File Server',"Checks if file server is in healthy state. If issues are detected, the file server fails over to another agent VM automatically in most cases. Check more details in vSAN health monitor.",
vSAN file service alarm 'Infrastructure Health',Checks file service infrastructure health state for each ESXi host. Issues usually can be remediated automatically once detected. Click Remediate File Service or Remediate Imbalance in vSAN health monitor to force auto remediation. The alarm is skipped if the host is in maintenance mode.  Check for more details in vSAN health monitor.,
vSAN file service alarm 'Share Health',Check if the file service share is in healthy state. Check for more details in vSAN health monitor.,
vSAN hardware compatibility alarm 'Controller disk group mode is VMware certified',Checks if the vSAN disk group type (all-flash or hybrid) is certified for the SCSI controller listed in the VMware Compatibility Guide. Only the controller which is on the vSAN HCL and certified for the current release of ESXi will be tested.,
vSAN hardware compatibility alarm 'Controller driver is VMware certified',Checks if the driver used by a controller is listed as certified in the VMware Compatibility Guide. Only the controller which is on the vSAN HCL and certified for the current release of ESXi will be tested.,
vSAN hardware compatibility alarm 'Controller firmware is VMware certified',Checks if controller firmware is certified per the VMware Compatibility Guide. Only the controller which is on the vSAN HCL and certified for the current release of ESXi will be tested.,
vSAN hardware compatibility alarm 'Controller is VMware certified for ESXi release',Displays information about the storage I/O controller drivers. Checks if the installed driver is supported for the corresponding controller in the current release of ESXi. Only the VMware certified controller will be tested.,
vSAN hardware compatibility alarm 'Controller utility is installed on host',Check for recommended controller's utility on host. Controller's utility enable additional health checks based on controller's settings. Please refer to Ask VMware KB in vSAN health monitor UI for instructions to install various controller's.,
vSAN hardware compatibility alarm 'Controller with pass-through and RAID disks',"Mixing the controller disk mode (pass-through/RAID) causes disks to be handled in different ways by the storage controller. This introduces the possibility that issues affecting one configuration could also affect the other, with possible negative consequences for vSAN. Refer to Ask VMware KB in vSAN health monitor for remediation steps.",
vSAN hardware compatibility alarm 'Disks usage on storage controller',vSAN does not support configuration where non-vSAN disks are used for VMFS or Raw Device Mappings(RDMs). Refer to Ask VMware KB in vSAN health monitor for remediation steps.,
vSAN hardware compatibility alarm 'Host issues retrieving hardware info',Checks if any host is disconnected/non-responsive or failed to respond to attempts to fetch hardware information. Hosts listed here will not have their hardware checked against the VMware Compatibility Guide.,
vSAN hardware compatibility alarm 'RAID controller configuration',vSAN requires some specific controller-level configuration for Pass-Through or RAID0 Single Drive (SSD/HDD) to work optimally with vSAN software-level caches. Refer to Ask VMware KB in vSAN health monitor for detailed cache configuration settings and steps to configure the controller properly.,
vSAN hardware compatibility alarm 'SCSI controller is VMware certified',"Displays information about the storage I/O controller and verifies that the controller is supported in the VMware Compatibility Guide, based on its PCI ID. If there is a mismatch, contact VMware support.",
vSAN hardware compatibility alarm 'vSAN and VMFS datastores on a Dell H730 controller with the lsi_mr3 driver',"VMware does not support configurations where vSAN disks co-exist with VMFS volumes on Dell H730 controller using the lsi_mr3 driver. To remediate this issue, install ESXi on a disk with vSAN drives (ESXi boot disk only) and then remove/delete the VMFS datastore from the local boot device.",
vSAN hardware compatibility alarm 'vSAN configuration for LSI-3108 based controller',"To ensure stability and optimal performance of vSAN when running on LSI-3108 based controller, some recommended configuration values must be set. Refer to Ask VMware KB in vSAN health monitor for remediation steps.",
vSAN hardware compatibility alarm 'vSAN firmware version recommendation',"vSAN firmware recommendation. This firmware suggestion is based on the current host software version, hardware driver version and its compatibility per VMware Compatibility Guide.",
vSAN hardware compatibility alarm 'vSAN HCL DB auto update',"Verifies the vSAN HCL database can be downloaded and updated from the VMware HCL release website automatically. When there is no internet access to the VMware public website or the vSAN HCL database auto-update is not enabled, this health check will be in silent health check list by default to show skipped status, unless user manually removes it from silent list. Otherwise, it shows warning if the HCL database cannot be auto-updated for any other reason, for example, if it cannot connect VMware HCL release website, fail to download latest HCL database, or fail to update the local HCL database.",
vSAN hardware compatibility alarm 'vSAN HCL DB up-to-date',"Checks the age of the VMware Hardware Compatibility Guide database used for the HCL checks. Shows warning when it is older than 90 days or none. ESXi versions on the cluster are included in the local HCL database. Shows error when it is older than 180 days. VMware updates the VCG frequently, so it is important to keep the local copy up-to-date.",
vSAN hardware compatibility issues,This alarm will be triggered if some hardware compatibility issues are found in the cluster. Please refer to vSAN health monitor UI for more detailed issues.,
vSAN health alarm 'Advisor',Default alarm to monitor changes for the health test 'Advisor',
vSAN health alarm 'CMK is not in enabled state in AWS KMS service',Default alarm to monitor changes for the health test 'Check the CMK state in AWS KMS service',
vSAN health alarms are suppressed,vSAN health alarms are suppressed until the cluster is fully configured or this Quickstart workflow is skipped.,
vSAN Health Service Alarm,Default alarm that monitors the health status of vSAN Health Services.,
vSAN health service alarm for Overall Health Summary,Default alarm to monitor changes for the overall health summary,
vSAN hyperconverged cluster configuration alarm 'Host compliance check for hyperconverged cluster configuration',"Checks if the configuration of each host is compliant with the hyperconverged cluster configuration. The hosts must all be attached to the vSphere Distributed Switch with the same adapters. The adapters must be present on the correct distributed port groups, and the NTP server and lockdown mode must be configured according to specifications.",
vSAN hyperconverged cluster configuration alarm 'VDS compliance check for hyperconverged cluster configuration',Checks if the vSphere Distributed Switch is alive and the distributed port groups configuration is compliant with the hyperconverged cluster configuration.,
vSAN iSCSI target service alarm 'Home object',"Home object stores metadata used by the vSAN iSCSI target service. This alarm verifies the following items: The home object has been created and can be located in the system. The home object is healthy and is compliant with the storage policy. The home object is unique. If multiple home objects exist, some of the hosts in the cluster might access a different home object. The metadata file in the home object is present and can be parsed, and that all metadata is properly stored.",
vSAN iSCSI target service alarm 'Network configuration',"All network interfaces used by vSAN iSCSI target service (including the default interface) must be configured on all hosts in the cluster. All network interfaces that have the same name form a distributed portal. If one or more hosts does not have a network interface, the vSAN iSCSI target service cannot operate correctly.",
vSAN iSCSI target service alarm 'Service runtime status',"Checks whether the service is enabled on all hosts in the cluster. If the service is not enabled on a host, run the following command: esxcli vsan iscsi status set --enabled=true. Or you can use the Edit action (Manage > Settings > General > vSAN iSCSI Target Service) to enable the iSCSI target service. This alarm also verifies the health of the following processes: vitd is used to provide the service, vitsafehd is used to hold opens for VMDKs. If vitd process is not running, use the following command to start the process: /etc/init.d/vitd start. If vitsafehd process is not running, use the following command to start the process: /etc/init.d/vitd io_restart.",
vSAN network alarm 'Active multicast connectivity check',"This alarm captures multicast packets on all hosts in the cluster for a period of time. It checks for  the CMMDS Primary Heartbeat. All hosts elected to be a vSAN/CMMDS Primary (one per partition) send this heartbeat once every second. These heartbeats are sent over multicast and all hosts in the cluster have to receive them in order for the cluster to function properly. So if a host sends a heartbeat and another host didn't hear it, it indicates a multicast misconfiguration, usually in the physical network.",
vSAN network alarm 'All hosts have a vSAN vmknic configured',"In order to participate in a vSAN cluster, and form a single group of fully connected hosts, each host in a vSAN cluster must have a vmknic (VMkernel network interface or VMkernel adapter) configured for vSAN traffic.",
vSAN network alarm 'All hosts have matching multicast settings',"In order to participate in a vSAN cluster, and form a single group of fully connected hosts, each host in a vSAN cluster must use the same IP multicast addresses. Depending on whether the cluster uses IPv4 or IPv6, the corresponding multicast configuration will be verified. Adjust multicast IPs using the following commands: 
esxcli vsan network list 
esxcli vsan network ip set",
vSAN network alarm 'Hosts disconnected from VC',"This alarm refers to whether vCenter Server has an active connection to all hosts in the cluster. If any host is disconnected from vCenter Server (or not responding), it could cause operational issues. If vCenter Server is not connected to the host, its state is unknown to vCenter. The host might be running, and might be participating in the vSAN cluster, serving data, and playing a critical role in the storage functions of the cluster. Or the host might be down and unavailable. vCenter Server and the vSAN health check cannot fully assess the situation while the host is disconnected. If the host is participating in the vSAN cluster, it appears in the Unexpected vSAN cluster member check as unexpected, because its UUID cannot be determined. The health check cannot determine if the host it sees in the vSAN cluster is the disconnected host or not. Other health checks, like vSAN connectivity checks or disk health checks will not be able to take the disconnected host into account.",
vSAN network alarm 'Hosts with connectivity issues',"This alarm refers to situations where vCenter Server lists the host as connected, but API calls from vCenter Server to the host are failing. This issue is rare, but it can lead to similar issues as the host disconnected from vCenter Server situation.",
vSAN network alarm 'Multicast assessment based on other checks',"This alarm indicates there might be a multicast issue if vSAN configuration checks passed, unicast connectivity checks passed, but there is a vSAN cluster partition. If it is triggered, an additional 'Active multicast connectivity check' will be performed.",
vSAN network alarm 'Network latency check',"Performs a network latency check of vSAN hosts. The network configuration guidance of normal cluster requires RTT less than 1ms. To allow for temporary fluctuations, this health check reports warnings based on a conservative threshold of 5ms. If this alarm is triggered, check vmknic, uplink, VLAN, physical switch and associated settings to locate the network issue. 
Note: This alarm will be skipped if the pair of hosts failed connectivity check.",
vSAN network alarm 'No hosts in remote vSAN have multiple vSAN vmknics configured',Checks if any host in remote vSAN client or server cluster has more than one vSAN vmknic configured. Refer to Ask VMware KB in vSAN health monitor for more details.,
vSAN network alarm 'Physical network adapter link speed consistency',Checks if the link speed of physical network adapter used by vSAN in each of host is consistent. The inconsistent link speed of physical network adapter can introduce vSAN performance issues. Refer to Ask VMware KB in vSAN health monitor for remediation steps.,
vSAN network alarm 'RDMA Configuration Health',"Checks if the vSAN RDMA-enabled physical NIC is configured for lossless traffic. To ensure a lossless layer 2 environment, the Data Center Bridging (DCB) mode must be configured as IEEE and the Priority Flow Control (PFC) value must set to 3 or 4.",
vSAN network alarm 'Server cluster partition',"Normally all hosts in the client cluster mounting remote vSAN datastore must be able to communicate with all hosts in the server cluster. In the case of network partition, client hosts might only see a subset of server hosts. It is possible that different client hosts see different server hosts. Object availability will be impacted for as long as the partition lasts. This alarm is triggered if the server cluster has partitions. Refer to the health monitor for more details.",
vSAN network alarm 'vMotion: Basic (unicast) connectivity check',"Performs a ping test with small packet size between all VMkernel adapters with vMotion traffic enabled. If this alarm is triggered, it indicates that the network is misconfigured. The test sends three pings. It shows a warning when one ping is lost and an error when two or more pings fail. The failure could be caused by many factors. There might be problems in the virtual network, including VMkernel adapters or Virtual Switches. There might be problems in the physical network, such as cables, physical NICs, or physical switches.",
vSAN network alarm 'vMotion: MTU check (ping with large packet size)',"Performs a ping test with large packet size between all VMkernel adapters with vMotion traffic enabled. When the small ping test succeeds, the large ping test also succeeds when the MTU size is consistently configured across all VMkernel adapters, virtual switches, and any physical switches. If the alarm is triggered, identify the source of the misconfiguration on the vSAN network. Check the VMkernel adapters, the virtual switches, or the physical network switches.",
vSAN network alarm 'vSAN cluster partition',"To ensure proper functionality, all vSAN hosts must be able to communicate over both multicast and unicast. If they cannot, a vSAN cluster will split into multiple partitions, sub-groups of hosts that cannot communicate to other sub-groups. When this happens, vSAN objects might become unavailable until the network misconfiguration is resolved.",
vSAN network alarm 'vSAN: Basic (unicast) connectivity check',"Performs a ping test with small packet size from each host to all other hosts. If this alarm is triggered, there is a basic issue with network connectivity. Check vmknic, uplink, VLAN, physical switch and associated settings.",
vSAN network alarm 'vSAN: MTU check (ping with large packet size)',"Performs a ping test with large packet size from each host to all other hosts. If this alarm is triggered but the basic connectivity check alarm is not triggered, it means that there is an MTU misconfiguration somewhere in the vSAN network. The source of the misconfiguration must be traced. It could be the VMkernel adapters, the virtual switches, or the physical network switches.",
vSAN online health alarm 'Audit CEIP Collected Data',Default alarm to monitor changes for the online health test 'Audit CEIP Collected Data',
vSAN online health alarm 'Controller utility is installed on host',Default alarm to monitor changes for the online health test 'Controller utility is installed on host',
vSAN online health alarm 'Controller with pass-through and RAID disks',Default alarm to monitor changes for the online health test 'Controller with pass-through and RAID disks',
vSAN online health alarm 'Coredump partition size check',Default alarm to monitor changes for the online health test 'Coredump partition size check',
vSAN online health alarm 'Customer advisory for HPE Smart Array',Default alarm to monitor changes for the online health test 'Customer advisory for HPE Smart Array',
vSAN online health alarm 'Disks usage on storage controller',Default alarm to monitor changes for the online health test 'Disks usage on storage controller',
vSAN online health alarm 'Dual encryption applied to VMs on vSAN',Default alarm to monitor changes for the online health test 'Dual encryption applied to VMs on vSAN',
vSAN online health alarm 'End of general support for lower vSphere version',Default alarm to monitor changes for the online health test 'End of general support for lower vSphere version',
vSAN online health alarm 'ESXi system logs stored outside vSAN datastore',"This alarm will be triggered if ESXi syslog or scratch partition are stored on a vSAN datastore, which can cause the ESXi host to become unresponsive to vCenter Server and the host CLI. Check more details in vSAN health monitor UI.",
vSAN online health alarm 'HPE SAS Solid State Drive',Default alarm to monitor changes for the online health test 'HPE SAS Solid State Drive',
vSAN online health alarm 'Important patch available for vSAN issue',Default alarm to monitor changes for the online health test 'Important patch available for vSAN issue',
vSAN online health alarm 'Physical network adapter speed consistency',Default alarm to monitor changes for the online health test 'Physical network adapter speed consistency',
vSAN online health alarm 'RAID controller configuration',Default alarm to monitor changes for the online health test 'RAID controller configuration',
vSAN online health alarm 'Thick-provisioned VMs on vSAN',Default alarm to monitor changes for the online health test 'Thick-provisioned VMs on vSAN',
vSAN online health alarm 'vCenter Server up to date',Default alarm to monitor changes for the online health test 'vCenter Server up to date',
vSAN online health alarm 'vSAN and VMFS datastores on a Dell H730 controller with the lsi_mr3 driver',Default alarm to monitor changes for the online health test 'vSAN and VMFS datastores on a Dell H730 controller with the lsi_mr3 driver',
vSAN online health alarm 'vSAN configuration check for large scale cluster',Default alarm to monitor changes for the online health test 'vSAN configuration check for large scale cluster',
vSAN online health alarm 'vSAN configuration for LSI-3108 based controller',Default alarm to monitor changes for the online health test 'vSAN configuration for LSI-3108 based controller'',
vSAN online health alarm 'vSAN Critical Alert - Patch available for critical vSAN issue',Default alarm to monitor changes for the online health test 'vSAN Critical Alert - Patch available for critical vSAN issue',
vSAN online health alarm 'vSAN Critical Alert - vSAN Advanced Configuration Check',Default alarm to monitor changes for the online health test 'vSAN Critical Alert - vSAN Advanced Configuration Check',
vSAN online health alarm 'vSAN Hosts with new patch available',Default alarm to monitor changes for the online health test 'vSAN Hosts with new patch available',
vSAN online health alarm 'vSAN management server system resource check',Default alarm to monitor changes for the online health test 'vSAN management server system resource check',
vSAN online health alarm 'vSAN max component size',Default alarm to monitor changes for the online health test 'vSAN max component size',
vSAN online health alarm 'vSAN v1 disk in use',Default alarm to monitor changes for the online health test 'vSAN v1 disk in use',
vSAN performance service alarm 'All hosts contributing stats',"Verifies that all hosts are contributing performance stats. If this alarm is triggered, it means some hosts are not contributing performance statistics. There are no known causes for this alarm. If it triggers consistently, contact VMware Support and file a Support Request. Provide support bundles for the entire cluster, including the vCenter Server and all hosts.",
vSAN performance service alarm 'Network diagnostic mode',Checks if the vSAN performance service network diagnostic mode is enabled. This alarm is triggered when the network diagnostic mode is enabled for more than 24 hours,
vSAN performance service alarm 'Performance data collection',"Checks the statistics collection of the vSAN performance service. Statistics are collected at regular intervals, such as every 5 minutes. If statistics collection or writing to storage fail for three consecutive intervals, this alarm is triggered. Check the health of the vSAN datastore, especially the health of all physical disks, the network health, and the health of the vSAN Stats DB object. If all of these items are healthy, contact VMware Support and file a Support Request.",
vSAN performance service alarm 'Performance service status',Checks the status of the vSAN performance service. Warning of this alarm can be remediated by enabling vSAN performance service.,
vSAN performance service alarm 'Stats DB object',"Checks the health of the vSAN performance service statistics database object. This alarm is triggered if Stats DB object does not exist, the Stats DB object is not 100 percent healthy, the object is unavailable, or the vSAN Stats DB object is running low on free logical disk space.",
vSAN performance service alarm 'Stats DB object conflicts',"Checks stats DB object conflicts. If the other Stats DB objects are useful, they can be backed up as files through the datastore browser, or they can be renamed and kept in the datastore. Merging of multiple Stats DB objects is not supported.",
vSAN performance service alarm 'Stats primary election',"Checks the stats primary node of vSAN performance service. This alarm is triggered if there is no stats primary node. Check the health of the vSAN datastore and the Stats DB object, especially the network health. If all of these checks are confirmed healthy, contact VMware Support and file a Support Request.",
vSAN performance service alarm 'Verbose mode',Checks if the vSAN performance service verbose mode is enabled. This alarm is triggered when verbose mode is enabled for more than 5 days.,
vSAN physical disk alarm 'Component limit',"Checks if the number of components on the physical disk reaches the maximum limit. Since each vSAN object is composed of a set of components, determined by capabilities that are in use in the VM Storage Policy, the deployment of new virtual machines might fail, or rebuild operations might not be allowed if the component limit has been reached. You must either add more host or delete some vSAN objects. However, if the component is full in witness node, you must provide more capacity.",
vSAN physical disk alarm 'Component metadata',"This alarm is triggered if vSAN has encountered an issue with the integrity of the metadata of a component in this disk. This could be due to faulty drives, faulty controller or a misbehaving device driver. It also can be caused by a problem in the vSAN software. Contact VMware Support.",
vSAN physical disk alarm 'Congestion',"If this alarm is triggered, vSAN is still using the disk, but it is in a state of reduced performance, resulting in low throughput/IOPS and high latencies for vSAN objects using this disk.",
vSAN physical disk alarm 'Disk capacity',"If this alarm is triggered for a specific disk, it indicates that this disk is low on free disk space. This alarm is only applicable to capacity tier drives, not to the cache devices.",
vSAN physical disk alarm 'Memory pools (heaps)',"This alarm is triggered if vSAN is running low on vital memory pools needed for the correct operation of physical disks. The disk might also report bad congestion health, which will lead to performance issues. Contact VMware Support.",
vSAN physical disk alarm 'Memory pools (slabs)',"This alarm is triggered if vSAN is running low on a vital memory pool needed for the operation of physical disks. The disk might also report bad congestion health, which will lead to performance issues. Contact VMware Support.",
vSAN physical disk alarm 'Operation',"Checks the physical disk operation health for both vSAN disks and vSAN direct disks for all hosts in the vSAN cluster. If this alarm is triggered on a VSAN disk, the disk cannot be used by vSAN. Possible reasons are issues in reading the disk metadata or a vSAN software issue preventing it to use this disk. For vSAN direct disks, the disk cannot be used, with the possible reason being an issue reading the disk operational state description that prevents the disk from being used.",
vSAN physical disk alarm 'Physical disk health retrieval issue',"If this alarm is triggered, it indicates that there was an issue retrieving the physical disk information from at least one host in the vSAN cluster. Please refer to Ask VMware KB in vSAN health monitor for details about this particular cause.",
vSAN physical disk alarm 'vSAN max component size',"When a capacity disk used for vSAN is smaller than 255 GB (default maximum component size), virtual machines that run on the vSAN Datastore might experience disk space issues. Refer to Ask VMware KB in vSAN health monitor for instructions about how to change maximum component size.",
vSAN stretched cluster alarm for 'Site latency' health,"This alarm is triggered if the worst latency between any two hosts in data sites and witness exceed certain limit. Warning threshold: 5ms between/within data sites, 200ms between data site and witness in NON-ROBO cluster, 500ms between data site and witness in ROBO cluster. Check the network between the failed pair of hosts to ensure the network setup meets the minimal requirements. NOTE: The pair of hosts failing in vSAN basic connectivity (small ping) test will be skipped.",
